Threatened_species,Year,Series,Value
French Southern Territories,2020,Threatened Species: Vertebrates (number),28
Guinea-Bissau,2004,Threatened Species: Total (number),22
Saint Pierre and Miquelon,2019,Threatened Species: Total (number),16
Tuvalu,2004,Threatened Species: Total (number),8
Ethiopia,2016,Threatened Species: Invertebrates (number),15
Marshall Islands,2018,Threatened Species: Invertebrates (number),73
Saint Helena,2017,Threatened Species: Invertebrates (number),15
Sri Lanka,2018,Threatened Species: Vertebrates (number),172
Hungary,2016,Threatened Species: Plants (number),12
U.S. Minor Outlying islands,2019,Threatened Species: Total (number),71
Egypt,2010,Threatened Species: Plants (number),2
Nicaragua,2018,Threatened Species: Plants (number),50
Trinidad and Tobago,2004,Threatened Species: Plants (number),1
Slovenia,2020,Threatened Species: Plants (number),33
Areas n.e.s,2004,Threatened Species: Invertebrates (number),0
Equatorial Guinea,2019,Threatened Species: Vertebrates (number),88
Réunion,2016,Threatened Species: Vertebrates (number),24
Central African Republic,2017,Threatened Species: Invertebrates (number),0
Croatia,2019,Threatened Species: Plants (number),25
Russian Federation,2020,Threatened Species: Plants (number),100
Saint Lucia,2004,Threatened Species: Total (number),29
Benin,2004,Threatened Species: Invertebrates (number),0
Panama,2017,Threatened Species: Invertebrates (number),22
Dominican Republic,2019,Threatened Species: Vertebrates (number),133
Lebanon,2004,Threatened Species: Vertebrates (number),25
Saint Martin (French part),2016,Threatened Species: Vertebrates (number),37
Ghana,2020,Threatened Species: Invertebrates (number),5
Uganda,2016,Threatened Species: Invertebrates (number),19
Sri Lanka,2018,Threatened Species: Invertebrates (number),130
Suriname,2019,Threatened Species: Invertebrates (number),1
Eswatini,2019,Threatened Species: Total (number),41
Saint Pierre and Miquelon,2017,Threatened Species: Total (number),12
Armenia,2020,Threatened Species: Total (number),119
American Samoa,2019,Threatened Species: Plants (number),1
Ecuador,2004,Threatened Species: Plants (number),1815
Czechia,2018,Threatened Species: Plants (number),31
Austria,2018,Threatened Species: Vertebrates (number),28
Dem. People's Rep. Korea,2010,Threatened Species: Invertebrates (number),2
Lebanon,2020,Threatened Species: Total (number),109
Gibraltar,2016,Threatened Species: Total (number),33
Aruba,2017,Threatened Species: Total (number),32
North Macedonia,2004,Threatened Species: Total (number),29
Western Sahara,2016,Threatened Species: Invertebrates (number),3
Sierra Leone,2020,Threatened Species: Plants (number),117
Saint Lucia,2004,Threatened Species: Vertebrates (number),23
Bahrain,2019,Threatened Species: Total (number),46
Libya,2017,Threatened Species: Total (number),63
Lithuania,2020,Threatened Species: Vertebrates (number),18
Cabo Verde,2016,Threatened Species: Invertebrates (number),13
Namibia,2010,Threatened Species: Plants (number),26
Republic of Moldova,2018,Threatened Species: Vertebrates (number),26
Faroe Islands,2010,Threatened Species: Invertebrates (number),0
Saint Barthélemy,2017,Threatened Species: Vertebrates (number),18
Netherlands Antilles [former],2004,Threatened Species: Invertebrates (number),0
Zambia,2020,Threatened Species: Total (number),107
Ecuador,2019,Threatened Species: Total (number),2393
Belarus,2020,Threatened Species: Plants (number),5
Anguilla,2018,Threatened Species: Vertebrates (number),40
Nigeria,2019,Threatened Species: Plants (number),208
Monaco,2018,Threatened Species: Total (number),22
Argentina,2017,Threatened Species: Total (number),256
Dominica,2004,Threatened Species: Total (number),33
Croatia,2016,Threatened Species: Vertebrates (number),93
Sweden,2004,Threatened Species: Vertebrates (number),20
Monaco,2020,Threatened Species: Total (number),34
Honduras,2020,Threatened Species: Vertebrates (number),181
British Virgin Islands,2020,Threatened Species: Plants (number),23
New Zealand,2018,Threatened Species: Plants (number),24
Chile,2017,Threatened Species: Invertebrates (number),13
Iceland,2016,Threatened Species: Invertebrates (number),0
Ireland,2017,Threatened Species: Vertebrates (number),41
Sao Tome and Principe,2004,Threatened Species: Plants (number),35
Kyrgyzstan,2019,Threatened Species: Plants (number),13
Armenia,2010,Threatened Species: Total (number),36
Togo,2010,Threatened Species: Vertebrates (number),43
Canada,2019,Threatened Species: Vertebrates (number),93
Venezuela (Boliv. Rep. of),2016,Threatened Species: Vertebrates (number),212
Norway,2017,Threatened Species: Plants (number),14
Gibraltar,2020,Threatened Species: Total (number),36
United Rep. of Tanzania,2004,Threatened Species: Invertebrates (number),33
Saint Kitts and Nevis,2016,Threatened Species: Plants (number),2
Japan,2018,Threatened Species: Vertebrates (number),198
Bhutan,2016,Threatened Species: Total (number),73
Belize,2016,Threatened Species: Plants (number),36
Turks and Caicos Islands,2020,Threatened Species: Total (number),65
Grenada,2016,Threatened Species: Vertebrates (number),40
"Bonaire, St. Eustatius & Saba",2016,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2016,Threatened Species: Total (number),53
Senegal,2018,Threatened Species: Plants (number),13
Switzerland,2020,Threatened Species: Total (number),128
Malta,2016,Threatened Species: Vertebrates (number),30
Kyrgyzstan,2020,Threatened Species: Invertebrates (number),4
Portugal,2018,Threatened Species: Total (number),399
Mozambique,2004,Threatened Species: Total (number),115
Mauritania,2004,Threatened Species: Plants (number),0
Sudan,2010,Threatened Species: Invertebrates (number),45
Rwanda,2018,Threatened Species: Vertebrates (number),52
Myanmar,2004,Threatened Species: Vertebrates (number),107
Kenya,2010,Threatened Species: Total (number),338
Panama,2018,Threatened Species: Total (number),387
Dem. Rep. of the Congo,2016,Threatened Species: Invertebrates (number),53
Ecuador,2018,Threatened Species: Total (number),2368
Eswatini,2016,Threatened Species: Plants (number),11
Liberia,2010,Threatened Species: Plants (number),47
Ecuador,2018,Threatened Species: Vertebrates (number),434
Estonia,2018,Threatened Species: Invertebrates (number),7
Congo,2016,Threatened Species: Vertebrates (number),81
Ethiopia,2019,Threatened Species: Vertebrates (number),99
South Georgia & Sandwich Is.,2018,Threatened Species: Plants (number),0
Namibia,2018,Threatened Species: Plants (number),27
Myanmar,2018,Threatened Species: Plants (number),61
Philippines,2016,Threatened Species: Invertebrates (number),237
Turkey,2017,Threatened Species: Total (number),388
Cambodia,2017,Threatened Species: Invertebrates (number),79
Gambia,2017,Threatened Species: Vertebrates (number),60
Namibia,2018,Threatened Species: Vertebrates (number),85
Bhutan,2016,Threatened Species: Plants (number),18
Iceland,2016,Threatened Species: Total (number),26
New Zealand,2004,Threatened Species: Total (number),149
Venezuela (Boliv. Rep. of),2017,Threatened Species: Plants (number),82
French Guiana,2010,Threatened Species: Total (number),56
Serbia,2017,Threatened Species: Invertebrates (number),30
Yemen,2018,Threatened Species: Vertebrates (number),72
Grenada,2017,Threatened Species: Plants (number),3
Benin,2016,Threatened Species: Invertebrates (number),3
Solomon Islands,2017,Threatened Species: Invertebrates (number),151
India,2016,Threatened Species: Plants (number),388
Senegal,2010,Threatened Species: Invertebrates (number),1
Malawi,2004,Threatened Species: Plants (number),14
Paraguay,2004,Threatened Species: Vertebrates (number),40
Romania,2016,Threatened Species: Vertebrates (number),49
Sint Maarten (Dutch part),2017,Threatened Species: Invertebrates (number),10
Jamaica,2010,Threatened Species: Invertebrates (number),15
Paraguay,2004,Threatened Species: Plants (number),10
Saint Lucia,2020,Threatened Species: Vertebrates (number),50
Slovakia,2018,Threatened Species: Plants (number),28
Iceland,2004,Threatened Species: Plants (number),0
Mauritius,2010,Threatened Species: Invertebrates (number),98
Micronesia (Fed. States of),2018,Threatened Species: Vertebrates (number),50
Cambodia,2019,Threatened Species: Plants (number),39
Lithuania,2019,Threatened Species: Plants (number),9
Vanuatu,2016,Threatened Species: Total (number),139
United Rep. of Tanzania,2004,Threatened Species: Total (number),416
Maldives,2019,Threatened Species: Total (number),79
Argentina,2004,Threatened Species: Plants (number),42
Estonia,2010,Threatened Species: Invertebrates (number),3
Other non-specified areas,2004,Threatened Species: Invertebrates (number),0
Areas n.e.s,2018,Threatened Species: Vertebrates (number),5
Brazil,2010,Threatened Species: Plants (number),387
Russian Federation,2019,Threatened Species: Plants (number),90
Antarctica,2010,Threatened Species: Total (number),6
Andorra,2020,Threatened Species: Plants (number),1
Central African Republic,2017,Threatened Species: Vertebrates (number),36
Georgia,2010,Threatened Species: Invertebrates (number),9
Cabo Verde,2018,Threatened Species: Total (number),115
Eritrea,2017,Threatened Species: Plants (number),5
Latvia,2017,Threatened Species: Plants (number),1
Cabo Verde,2019,Threatened Species: Vertebrates (number),53
China,2016,Threatened Species: Plants (number),575
British Virgin Islands,2020,Threatened Species: Total (number),88
Maldives,2010,Threatened Species: Total (number),59
Angola,2016,Threatened Species: Plants (number),34
Niue,2019,Threatened Species: Invertebrates (number),30
Guinea-Bissau,2016,Threatened Species: Invertebrates (number),2
Saint Pierre and Miquelon,2016,Threatened Species: Total (number),11
Libya,2019,Threatened Species: Vertebrates (number),57
Argentina,2020,Threatened Species: Vertebrates (number),194
Colombia,2004,Threatened Species: Total (number),593
French Guiana,2010,Threatened Species: Plants (number),16
Slovenia,2019,Threatened Species: Vertebrates (number),53
Luxembourg,2020,Threatened Species: Invertebrates (number),7
Montenegro,2020,Threatened Species: Total (number),113
Mozambique,2019,Threatened Species: Plants (number),170
Greece,2019,Threatened Species: Plants (number),80
Myanmar,2017,Threatened Species: Vertebrates (number),183
Mauritius,2018,Threatened Species: Invertebrates (number),120
Pitcairn,2004,Threatened Species: Vertebrates (number),15
Spain,2004,Threatened Species: Plants (number),14
Barbados,2016,Threatened Species: Total (number),53
Comoros,2004,Threatened Species: Vertebrates (number),18
Dem. People's Rep. Korea,2018,Threatened Species: Total (number),80
Rwanda,2010,Threatened Species: Invertebrates (number),2
Aruba,2018,Threatened Species: Plants (number),2
Cayman Islands,2016,Threatened Species: Plants (number),22
Denmark,2017,Threatened Species: Invertebrates (number),15
South Sudan,2016,Threatened Species: Plants (number),15
Lao People's Dem. Rep.,2016,Threatened Species: Invertebrates (number),21
New Caledonia,2017,Threatened Species: Total (number),526
Guernsey,2020,Threatened Species: Total (number),12
Palau,2010,Threatened Species: Vertebrates (number),22
Togo,2017,Threatened Species: Total (number),80
Dem. People's Rep. Korea,2016,Threatened Species: Plants (number),17
Cocos (Keeling) Islands,2010,Threatened Species: Total (number),28
British Indian Ocean Terr.,2016,Threatened Species: Vertebrates (number),14
Luxembourg,2004,Threatened Species: Plants (number),0
Mayotte,2018,Threatened Species: Vertebrates (number),19
South Georgia & Sandwich Is.,2016,Threatened Species: Invertebrates (number),0
Malawi,2004,Threatened Species: Total (number),50
Tajikistan,2020,Threatened Species: Plants (number),13
Marshall Islands,2004,Threatened Species: Vertebrates (number),12
Qatar,2016,Threatened Species: Plants (number),0
Mayotte,2017,Threatened Species: Total (number),88
Paraguay,2010,Threatened Species: Vertebrates (number),38
Holy See,2018,Threatened Species: Total (number),1
Barbados,2017,Threatened Species: Invertebrates (number),11
Antigua and Barbuda,2020,Threatened Species: Vertebrates (number),47
Timor-Leste,2020,Threatened Species: Invertebrates (number),1
Jersey,2016,Threatened Species: Total (number),6
Uzbekistan,2019,Threatened Species: Total (number),62
Uganda,2017,Threatened Species: Vertebrates (number),119
Cocos (Keeling) Islands,2020,Threatened Species: Vertebrates (number),20
State of Palestine,2020,Threatened Species: Invertebrates (number),4
French Guiana,2016,Threatened Species: Plants (number),18
Sierra Leone,2016,Threatened Species: Total (number),176
Timor-Leste,2018,Threatened Species: Total (number),26
Cuba,2016,Threatened Species: Total (number),340
Ireland,2018,Threatened Species: Total (number),53
Cambodia,2010,Threatened Species: Plants (number),30
Lao People's Dem. Rep.,2019,Threatened Species: Invertebrates (number),21
Indonesia,2018,Threatened Species: Plants (number),436
Guinea,2016,Threatened Species: Vertebrates (number),132
Brazil,2017,Threatened Species: Total (number),990
Eswatini,2016,Threatened Species: Invertebrates (number),0
Lesotho,2017,Threatened Species: Invertebrates (number),3
American Samoa,2017,Threatened Species: Invertebrates (number),64
Saint Lucia,2010,Threatened Species: Invertebrates (number),11
Sweden,2018,Threatened Species: Total (number),58
Saint Vincent & Grenadines,2010,Threatened Species: Total (number),38
Azerbaijan,2017,Threatened Species: Plants (number),42
Curaçao,2016,Threatened Species: Vertebrates (number),36
Niger,2010,Threatened Species: Plants (number),2
Réunion,2020,Threatened Species: Invertebrates (number),89
Japan,2010,Threatened Species: Invertebrates (number),157
India,2018,Threatened Species: Invertebrates (number),135
Sudan,2018,Threatened Species: Total (number),140
Somalia,2016,Threatened Species: Invertebrates (number),62
Mozambique,2018,Threatened Species: Plants (number),122
Guinea-Bissau,2004,Threatened Species: Plants (number),4
Guadeloupe,2017,Threatened Species: Vertebrates (number),48
Greenland,2018,Threatened Species: Vertebrates (number),24
South Sudan,2017,Threatened Species: Total (number),49
State of Palestine,2020,Threatened Species: Vertebrates (number),25
Montenegro,2016,Threatened Species: Total (number),94
Republic of Korea,2020,Threatened Species: Vertebrates (number),90
Ukraine,2004,Threatened Species: Total (number),55
Gabon,2020,Threatened Species: Plants (number),215
Micronesia (Fed. States of),2017,Threatened Species: Vertebrates (number),49
Saint Vincent & Grenadines,2019,Threatened Species: Invertebrates (number),10
Kenya,2010,Threatened Species: Vertebrates (number),137
U.S. Minor Outlying islands,2018,Threatened Species: Vertebrates (number),26
"China, Macao SAR",2010,Threatened Species: Invertebrates (number),0
Saint Vincent & Grenadines,2020,Threatened Species: Plants (number),5
Ghana,2010,Threatened Species: Plants (number),118
Iran (Islamic Republic of),2010,Threatened Species: Total (number),102
United Arab Emirates,2016,Threatened Species: Total (number),56
Andorra,2020,Threatened Species: Total (number),15
Chad,2004,Threatened Species: Total (number),21
Gabon,2020,Threatened Species: Total (number),329
Angola,2004,Threatened Species: Invertebrates (number),6
Costa Rica,2004,Threatened Species: Plants (number),110
Brazil,2010,Threatened Species: Vertebrates (number),341
United Rep. of Tanzania,2020,Threatened Species: Total (number),1259
Haiti,2010,Threatened Species: Vertebrates (number),94
Kiribati,2004,Threatened Species: Invertebrates (number),1
Saudi Arabia,2020,Threatened Species: Invertebrates (number),60
Norfolk Island,2020,Threatened Species: Plants (number),2
Ireland,2020,Threatened Species: Invertebrates (number),6
Antigua and Barbuda,2004,Threatened Species: Vertebrates (number),18
Guinea-Bissau,2010,Threatened Species: Total (number),52
Aruba,2016,Threatened Species: Invertebrates (number),2
Mauritius,2018,Threatened Species: Total (number),259
Central African Republic,2010,Threatened Species: Vertebrates (number),19
State of Palestine,2016,Threatened Species: Total (number),30
Somalia,2017,Threatened Species: Vertebrates (number),67
Mongolia,2020,Threatened Species: Plants (number),3
Tajikistan,2016,Threatened Species: Total (number),44
Mexico,2010,Threatened Species: Vertebrates (number),609
Japan,2010,Threatened Species: Plants (number),15
Monaco,2019,Threatened Species: Vertebrates (number),19
British Virgin Islands,2018,Threatened Species: Vertebrates (number),48
Benin,2017,Threatened Species: Vertebrates (number),68
"China, Hong Kong SAR",2016,Threatened Species: Vertebrates (number),46
Saint Pierre and Miquelon,2016,Threatened Species: Invertebrates (number),0
Ukraine,2019,Threatened Species: Total (number),127
Lithuania,2004,Threatened Species: Invertebrates (number),5
Afghanistan,2004,Threatened Species: Total (number),33
Monaco,2016,Threatened Species: Plants (number),0
Bolivia (Plurin. State of),2018,Threatened Species: Total (number),236
North Macedonia,2010,Threatened Species: Vertebrates (number),31
Antigua and Barbuda,2020,Threatened Species: Invertebrates (number),11
Greece,2010,Threatened Species: Vertebrates (number),107
Georgia,2016,Threatened Species: Total (number),119
Paraguay,2017,Threatened Species: Vertebrates (number),40
Belgium,2017,Threatened Species: Plants (number),1
Venezuela (Boliv. Rep. of),2019,Threatened Species: Plants (number),90
Mozambique,2016,Threatened Species: Vertebrates (number),127
Bolivia (Plurin. State of),2016,Threatened Species: Invertebrates (number),3
Turks and Caicos Islands,2016,Threatened Species: Plants (number),9
Niger,2019,Threatened Species: Vertebrates (number),32
Northern Mariana Islands,2016,Threatened Species: Plants (number),5
Seychelles,2018,Threatened Species: Total (number),439
Jersey,2020,Threatened Species: Vertebrates (number),12
Honduras,2004,Threatened Species: Total (number),206
Ghana,2016,Threatened Species: Total (number),236
Cambodia,2018,Threatened Species: Vertebrates (number),145
American Samoa,2016,Threatened Species: Total (number),92
Albania,2010,Threatened Species: Invertebrates (number),47
Uzbekistan,2016,Threatened Species: Vertebrates (number),39
Ireland,2004,Threatened Species: Plants (number),1
Dominican Republic,2018,Threatened Species: Invertebrates (number),16
Saint Helena,2016,Threatened Species: Invertebrates (number),15
Ireland,2020,Threatened Species: Vertebrates (number),46
Zambia,2010,Threatened Species: Vertebrates (number),44
Germany,2020,Threatened Species: Plants (number),97
Slovakia,2016,Threatened Species: Plants (number),10
Egypt,2016,Threatened Species: Vertebrates (number),96
Malaysia,2016,Threatened Species: Total (number),1265
Guernsey,2018,Threatened Species: Plants (number),0
Mozambique,2017,Threatened Species: Total (number),309
Philippines,2016,Threatened Species: Plants (number),239
Guinea,2004,Threatened Species: Vertebrates (number),42
Cabo Verde,2020,Threatened Species: Total (number),119
Syrian Arab Republic,2017,Threatened Species: Invertebrates (number),20
Jamaica,2004,Threatened Species: Plants (number),208
Niger,2004,Threatened Species: Vertebrates (number),12
Saint Lucia,2017,Threatened Species: Plants (number),6
Canada,2016,Threatened Species: Vertebrates (number),79
Madagascar,2010,Threatened Species: Plants (number),280
Ecuador,2004,Threatened Species: Vertebrates (number),288
Micronesia (Fed. States of),2016,Threatened Species: Plants (number),4
Nicaragua,2018,Threatened Species: Total (number),149
Canada,2016,Threatened Species: Plants (number),14
Guatemala,2017,Threatened Species: Invertebrates (number),13
Bangladesh,2004,Threatened Species: Plants (number),12
Comoros,2016,Threatened Species: Vertebrates (number),29
Singapore,2016,Threatened Species: Plants (number),58
Saint Helena,2019,Threatened Species: Invertebrates (number),68
Thailand,2018,Threatened Species: Total (number),621
Trinidad and Tobago,2019,Threatened Species: Total (number),121
Tajikistan,2019,Threatened Species: Vertebrates (number),32
British Virgin Islands,2016,Threatened Species: Vertebrates (number),41
Republic of Korea,2017,Threatened Species: Invertebrates (number),5
Gibraltar,2017,Threatened Species: Invertebrates (number),5
Finland,2017,Threatened Species: Invertebrates (number),10
Syrian Arab Republic,2004,Threatened Species: Plants (number),0
Serbia and Monten. [former],2004,Threatened Species: Total (number),62
Chad,2019,Threatened Species: Vertebrates (number),38
Hungary,2018,Threatened Species: Plants (number),45
United Rep. of Tanzania,2004,Threatened Species: Plants (number),239
Australia,2016,Threatened Species: Invertebrates (number),514
State of Palestine,2016,Threatened Species: Invertebrates (number),4
Cambodia,2020,Threatened Species: Vertebrates (number),160
British Indian Ocean Terr.,2016,Threatened Species: Invertebrates (number),69
Uganda,2017,Threatened Species: Invertebrates (number),24
Eritrea,2018,Threatened Species: Total (number),130
Jordan,2020,Threatened Species: Invertebrates (number),61
Ethiopia,2016,Threatened Species: Total (number),148
Bosnia and Herzegovina,2010,Threatened Species: Invertebrates (number),22
Puerto Rico,2020,Threatened Species: Total (number),146
Lithuania,2020,Threatened Species: Total (number),41
Russian Federation,2018,Threatened Species: Invertebrates (number),39
Norway,2004,Threatened Species: Invertebrates (number),9
Liechtenstein,2020,Threatened Species: Vertebrates (number),2
Croatia,2004,Threatened Species: Vertebrates (number),46
United States of America,2018,Threatened Species: Total (number),1540
Iran (Islamic Republic of),2019,Threatened Species: Total (number),152
North Macedonia,2018,Threatened Species: Vertebrates (number),34
Isle of Man,2017,Threatened Species: Invertebrates (number),0
Armenia,2017,Threatened Species: Total (number),114
Bolivia (Plurin. State of),2016,Threatened Species: Plants (number),104
Gabon,2018,Threatened Species: Invertebrates (number),4
Northern Mariana Islands,2004,Threatened Species: Invertebrates (number),2
Lao People's Dem. Rep.,2004,Threatened Species: Plants (number),19
Niger,2004,Threatened Species: Invertebrates (number),1
Haiti,2004,Threatened Species: Total (number),116
Djibouti,2016,Threatened Species: Total (number),98
Anguilla,2019,Threatened Species: Plants (number),4
Portugal,2020,Threatened Species: Total (number),465
Portugal,2018,Threatened Species: Invertebrates (number),197
Eritrea,2019,Threatened Species: Invertebrates (number),58
Cuba,2019,Threatened Species: Total (number),354
Dem. People's Rep. Korea,2004,Threatened Species: Total (number),44
San Marino,2018,Threatened Species: Invertebrates (number),1
Antarctica,2010,Threatened Species: Invertebrates (number),0
Andorra,2017,Threatened Species: Vertebrates (number),5
Ukraine,2019,Threatened Species: Invertebrates (number),38
Liberia,2018,Threatened Species: Plants (number),53
Uruguay,2020,Threatened Species: Total (number),116
Benin,2019,Threatened Species: Plants (number),21
Puerto Rico,2010,Threatened Species: Invertebrates (number),1
Turks and Caicos Islands,2019,Threatened Species: Plants (number),9
Cook Islands,2016,Threatened Species: Invertebrates (number),32
Uruguay,2019,Threatened Species: Plants (number),22
Montserrat,2020,Threatened Species: Vertebrates (number),44
Faroe Islands,2019,Threatened Species: Total (number),27
Iceland,2010,Threatened Species: Total (number),17
Spain,2016,Threatened Species: Plants (number),221
Guadeloupe,2017,Threatened Species: Plants (number),9
Congo,2020,Threatened Species: Invertebrates (number),7
Nigeria,2017,Threatened Species: Vertebrates (number),148
Christmas Island,2019,Threatened Species: Invertebrates (number),19
El Salvador,2020,Threatened Species: Plants (number),42
Botswana,2017,Threatened Species: Total (number),28
Peru,2010,Threatened Species: Vertebrates (number),274
Aruba,2019,Threatened Species: Plants (number),3
North Macedonia,2020,Threatened Species: Invertebrates (number),86
Indonesia,2010,Threatened Species: Total (number),1142
Algeria,2018,Threatened Species: Plants (number),23
Lesotho,2018,Threatened Species: Invertebrates (number),3
Mauritania,2016,Threatened Species: Invertebrates (number),3
Rwanda,2016,Threatened Species: Vertebrates (number),51
Bouvet Island,2010,Threatened Species: Total (number),2
New Caledonia,2018,Threatened Species: Vertebrates (number),117
Morocco,2018,Threatened Species: Total (number),223
Germany,2010,Threatened Species: Vertebrates (number),33
Guinea,2018,Threatened Species: Plants (number),69
"Bonaire, St. Eustatius & Saba",2017,Threatened Species: Total (number),56
Martinique,2004,Threatened Species: Invertebrates (number),1
Venezuela (Boliv. Rep. of),2019,Threatened Species: Total (number),347
Antarctica,2004,Threatened Species: Plants (number),0
Bahrain,2016,Threatened Species: Vertebrates (number),23
France,2019,Threatened Species: Plants (number),98
Anguilla,2018,Threatened Species: Total (number),54
Uruguay,2016,Threatened Species: Plants (number),22
Puerto Rico,2017,Threatened Species: Plants (number),57
Saint Martin (French part),2019,Threatened Species: Invertebrates (number),10
Georgia,2017,Threatened Species: Invertebrates (number),15
Ecuador,2020,Threatened Species: Invertebrates (number),70
Lao People's Dem. Rep.,2019,Threatened Species: Total (number),243
Curaçao,2020,Threatened Species: Plants (number),4
United Arab Emirates,2010,Threatened Species: Plants (number),0
South Africa,2019,Threatened Species: Vertebrates (number),242
Cameroon,2016,Threatened Species: Plants (number),490
Slovenia,2016,Threatened Species: Vertebrates (number),50
Togo,2017,Threatened Species: Invertebrates (number),3
Guam,2016,Threatened Species: Plants (number),4
Dominica,2019,Threatened Species: Plants (number),12
Qatar,2018,Threatened Species: Vertebrates (number),32
Azerbaijan,2017,Threatened Species: Total (number),97
Thailand,2016,Threatened Species: Plants (number),150
"China, Macao SAR",2004,Threatened Species: Total (number),5
"China, Hong Kong SAR",2019,Threatened Species: Plants (number),10
Zimbabwe,2020,Threatened Species: Invertebrates (number),8
North Macedonia,2017,Threatened Species: Plants (number),0
Norfolk Island,2020,Threatened Species: Invertebrates (number),23
Somalia,2016,Threatened Species: Total (number),171
Zimbabwe,2017,Threatened Species: Plants (number),43
Kyrgyzstan,2017,Threatened Species: Invertebrates (number),4
Sao Tome and Principe,2018,Threatened Species: Plants (number),49
Kenya,2018,Threatened Species: Invertebrates (number),87
Qatar,2010,Threatened Species: Vertebrates (number),19
Mayotte,2017,Threatened Species: Vertebrates (number),18
Barbados,2010,Threatened Species: Total (number),36
Gabon,2010,Threatened Species: Total (number),204
Algeria,2016,Threatened Species: Plants (number),18
Haiti,2016,Threatened Species: Total (number),169
Croatia,2019,Threatened Species: Total (number),197
Bahamas,2004,Threatened Species: Vertebrates (number),36
Albania,2016,Threatened Species: Vertebrates (number),63
Comoros,2020,Threatened Species: Invertebrates (number),77
Solomon Islands,2019,Threatened Species: Plants (number),16
Cayman Islands,2016,Threatened Species: Vertebrates (number),38
Czechia,2016,Threatened Species: Invertebrates (number),24
Bhutan,2020,Threatened Species: Plants (number),45
Areas n.e.s,2017,Threatened Species: Total (number),4
Austria,2020,Threatened Species: Invertebrates (number),74
Heard Is. and McDonald Is.,2018,Threatened Species: Invertebrates (number),0
Senegal,2010,Threatened Species: Vertebrates (number),72
Jordan,2019,Threatened Species: Invertebrates (number),61
Nepal,2019,Threatened Species: Invertebrates (number),3
Brunei Darussalam,2018,Threatened Species: Plants (number),116
Cayman Islands,2004,Threatened Species: Invertebrates (number),1
Italy,2016,Threatened Species: Total (number),305
Dem. People's Rep. Korea,2018,Threatened Species: Plants (number),17
Saint Vincent & Grenadines,2016,Threatened Species: Plants (number),5
New Zealand,2017,Threatened Species: Invertebrates (number),46
Romania,2004,Threatened Species: Plants (number),1
Armenia,2004,Threatened Species: Plants (number),1
South Georgia & Sandwich Is.,2019,Threatened Species: Plants (number),0
Dominican Republic,2010,Threatened Species: Total (number),126
Guadeloupe,2020,Threatened Species: Total (number),83
Benin,2020,Threatened Species: Vertebrates (number),82
"Bonaire, St. Eustatius & Saba",2018,Threatened Species: Plants (number),3
Bosnia and Herzegovina,2004,Threatened Species: Invertebrates (number),10
Falkland Islands (Malvinas),2017,Threatened Species: Vertebrates (number),18
Republic of Moldova,2010,Threatened Species: Invertebrates (number),3
Sierra Leone,2004,Threatened Species: Vertebrates (number),35
Grenada,2016,Threatened Species: Invertebrates (number),10
Jersey,2010,Threatened Species: Total (number),2
Argentina,2020,Threatened Species: Plants (number),76
Central African Republic,2017,Threatened Species: Plants (number),24
Netherlands Antilles [former],2004,Threatened Species: Plants (number),2
Armenia,2016,Threatened Species: Invertebrates (number),9
Uzbekistan,2010,Threatened Species: Total (number),50
Comoros,2019,Threatened Species: Vertebrates (number),37
Cameroon,2020,Threatened Species: Total (number),890
Ukraine,2004,Threatened Species: Plants (number),1
Eswatini,2019,Threatened Species: Vertebrates (number),28
Canada,2010,Threatened Species: Total (number),77
Saint Pierre and Miquelon,2017,Threatened Species: Invertebrates (number),0
Papua New Guinea,2004,Threatened Species: Plants (number),142
Guatemala,2004,Threatened Species: Vertebrates (number),115
Uzbekistan,2016,Threatened Species: Plants (number),17
Svalbard and Jan Mayen Is.,2019,Threatened Species: Total (number),11
Portugal,2004,Threatened Species: Invertebrates (number),82
Palau,2016,Threatened Species: Total (number),181
El Salvador,2019,Threatened Species: Invertebrates (number),10
Honduras,2016,Threatened Species: Total (number),300
Portugal,2017,Threatened Species: Vertebrates (number),94
Belgium,2010,Threatened Species: Plants (number),1
Nicaragua,2017,Threatened Species: Invertebrates (number),20
Ghana,2016,Threatened Species: Invertebrates (number),5
Papua New Guinea,2020,Threatened Species: Plants (number),229
Guadeloupe,2018,Threatened Species: Total (number),75
Czechia,2016,Threatened Species: Total (number),53
Sweden,2010,Threatened Species: Total (number),29
Luxembourg,2016,Threatened Species: Plants (number),0
Vanuatu,2017,Threatened Species: Invertebrates (number),91
Indonesia,2017,Threatened Species: Total (number),1281
Trinidad and Tobago,2020,Threatened Species: Vertebrates (number),66
Sri Lanka,2018,Threatened Species: Total (number),596
Bouvet Island,2016,Threatened Species: Invertebrates (number),0
Cyprus,2016,Threatened Species: Plants (number),18
Malta,2016,Threatened Species: Invertebrates (number),5
Bhutan,2017,Threatened Species: Invertebrates (number),1
Chad,2020,Threatened Species: Plants (number),6
Suriname,2017,Threatened Species: Invertebrates (number),1
French Polynesia,2018,Threatened Species: Vertebrates (number),66
"China, Hong Kong SAR",2019,Threatened Species: Invertebrates (number),9
Guadeloupe,2020,Threatened Species: Invertebrates (number),16
Saudi Arabia,2017,Threatened Species: Invertebrates (number),59
Jersey,2017,Threatened Species: Plants (number),0
Guernsey,2019,Threatened Species: Plants (number),0
