Threatened_species,Year,Series,Value
Guam,2018,Threatened Species: Plants (number),4
Sri Lanka,2018,Threatened Species: Plants (number),294
Kuwait,2019,Threatened Species: Vertebrates (number),43
France,2017,Threatened Species: Total (number),278
Australia,2020,Threatened Species: Vertebrates (number),433
Zimbabwe,2010,Threatened Species: Plants (number),16
Turkmenistan,2004,Threatened Species: Vertebrates (number),35
Dominica,2020,Threatened Species: Total (number),74
Zambia,2004,Threatened Species: Plants (number),8
Nepal,2017,Threatened Species: Total (number),104
Honduras,2016,Threatened Species: Invertebrates (number),21
Argentina,2019,Threatened Species: Invertebrates (number),14
Austria,2010,Threatened Species: Total (number),82
United States Virgin Islands,2019,Threatened Species: Total (number),67
Malta,2020,Threatened Species: Vertebrates (number),38
Benin,2004,Threatened Species: Plants (number),14
Guatemala,2017,Threatened Species: Total (number),290
Malaysia,2018,Threatened Species: Invertebrates (number),265
Germany,2004,Threatened Species: Vertebrates (number),35
Mauritius,2017,Threatened Species: Invertebrates (number),120
Suriname,2020,Threatened Species: Plants (number),29
Ethiopia,2010,Threatened Species: Vertebrates (number),79
Namibia,2017,Threatened Species: Invertebrates (number),4
Egypt,2017,Threatened Species: Invertebrates (number),56
Papua New Guinea,2020,Threatened Species: Invertebrates (number),183
Dem. Rep. of the Congo,2019,Threatened Species: Plants (number),185
Uzbekistan,2017,Threatened Species: Total (number),59
Madagascar,2018,Threatened Species: Plants (number),871
Botswana,2020,Threatened Species: Total (number),33
Uruguay,2020,Threatened Species: Plants (number),22
State of Palestine,2018,Threatened Species: Plants (number),6
South Africa,2017,Threatened Species: Vertebrates (number),233
Qatar,2018,Threatened Species: Plants (number),0
Slovakia,2016,Threatened Species: Vertebrates (number),19
Mexico,2016,Threatened Species: Total (number),1152
Guyana,2018,Threatened Species: Plants (number),26
Lebanon,2018,Threatened Species: Plants (number),24
British Virgin Islands,2010,Threatened Species: Invertebrates (number),10
Myanmar,2004,Threatened Species: Plants (number),38
Denmark,2010,Threatened Species: Invertebrates (number),12
Senegal,2020,Threatened Species: Plants (number),23
Gabon,2018,Threatened Species: Total (number),283
Lithuania,2004,Threatened Species: Vertebrates (number),12
Egypt,2017,Threatened Species: Vertebrates (number),97
Tristan da Cunha,2019,Threatened Species: Plants (number),45
Bahamas,2019,Threatened Species: Invertebrates (number),12
Niger,2018,Threatened Species: Invertebrates (number),1
Mozambique,2017,Threatened Species: Invertebrates (number),67
Mauritania,2010,Threatened Species: Invertebrates (number),1
El Salvador,2017,Threatened Species: Plants (number),29
Nicaragua,2020,Threatened Species: Vertebrates (number),89
Saint Pierre and Miquelon,2017,Threatened Species: Plants (number),0
Egypt,2010,Threatened Species: Total (number),121
Papua New Guinea,2018,Threatened Species: Invertebrates (number),180
Iraq,2010,Threatened Species: Total (number),60
Senegal,2020,Threatened Species: Invertebrates (number),13
Maldives,2018,Threatened Species: Plants (number),0
Congo,2019,Threatened Species: Plants (number),47
Georgia,2019,Threatened Species: Vertebrates (number),42
Eritrea,2016,Threatened Species: Plants (number),4
British Virgin Islands,2019,Threatened Species: Invertebrates (number),10
Romania,2019,Threatened Species: Plants (number),20
Heard Is. and McDonald Is.,2016,Threatened Species: Plants (number),0
Cambodia,2010,Threatened Species: Invertebrates (number),67
South Africa,2016,Threatened Species: Invertebrates (number),202
Finland,2016,Threatened Species: Vertebrates (number),17
Kenya,2020,Threatened Species: Total (number),549
Bolivia (Plurin. State of),2018,Threatened Species: Vertebrates (number),129
Other non-specified areas,2020,Threatened Species: Total (number),362
Pakistan,2010,Threatened Species: Vertebrates (number),92
Areas n.e.s,2017,Threatened Species: Plants (number),0
Armenia,2010,Threatened Species: Invertebrates (number),6
Mali,2020,Threatened Species: Vertebrates (number),37
Nicaragua,2020,Threatened Species: Total (number),161
Mozambique,2018,Threatened Species: Total (number),321
Palau,2004,Threatened Species: Total (number),21
Saint Helena,2017,Threatened Species: Vertebrates (number),41
Kiribati,2020,Threatened Species: Vertebrates (number),27
Kuwait,2016,Threatened Species: Plants (number),0
Tajikistan,2004,Threatened Species: Total (number),24
Tunisia,2020,Threatened Species: Invertebrates (number),21
Sint Maarten (Dutch part),2018,Threatened Species: Total (number),53
Estonia,2016,Threatened Species: Plants (number),2
Egypt,2010,Threatened Species: Vertebrates (number),73
Venezuela (Boliv. Rep. of),2017,Threatened Species: Total (number),328
Bhutan,2017,Threatened Species: Vertebrates (number),52
Christmas Island,2004,Threatened Species: Plants (number),1
Jersey,2018,Threatened Species: Invertebrates (number),1
Spain,2019,Threatened Species: Total (number),736
United Arab Emirates,2019,Threatened Species: Plants (number),0
Timor-Leste,2018,Threatened Species: Invertebrates (number),1
Senegal,2016,Threatened Species: Total (number),120
Saint Barthélemy,2020,Threatened Species: Vertebrates (number),31
Lithuania,2016,Threatened Species: Vertebrates (number),17
Italy,2017,Threatened Species: Plants (number),78
Solomon Islands,2018,Threatened Species: Vertebrates (number),75
Georgia,2004,Threatened Species: Plants (number),0
Saint Vincent & Grenadines,2019,Threatened Species: Total (number),61
Turkmenistan,2018,Threatened Species: Invertebrates (number),7
Poland,2017,Threatened Species: Vertebrates (number),23
"China, Hong Kong SAR",2019,Threatened Species: Total (number),70
Republic of Moldova,2020,Threatened Species: Total (number),33
Tonga,2020,Threatened Species: Invertebrates (number),51
Belize,2020,Threatened Species: Total (number),143
Sierra Leone,2004,Threatened Species: Plants (number),47
Mozambique,2019,Threatened Species: Total (number),377
Denmark,2010,Threatened Species: Plants (number),3
Pitcairn,2004,Threatened Species: Plants (number),7
Estonia,2017,Threatened Species: Total (number),23
Grenada,2017,Threatened Species: Invertebrates (number),10
Bulgaria,2017,Threatened Species: Invertebrates (number),48
Oman,2016,Threatened Species: Vertebrates (number),62
Martinique,2018,Threatened Species: Plants (number),9
Ethiopia,2004,Threatened Species: Vertebrates (number),65
El Salvador,2016,Threatened Species: Invertebrates (number),10
Papua New Guinea,2020,Threatened Species: Total (number),585
Jamaica,2017,Threatened Species: Vertebrates (number),82
Jordan,2017,Threatened Species: Invertebrates (number),61
Colombia,2010,Threatened Species: Vertebrates (number),424
Croatia,2018,Threatened Species: Total (number),181
Botswana,2020,Threatened Species: Plants (number),3
Vanuatu,2017,Threatened Species: Total (number),137
Mauritius,2016,Threatened Species: Vertebrates (number),45
Angola,2016,Threatened Species: Total (number),142
State of Palestine,2010,Threatened Species: Plants (number),0
New Zealand,2019,Threatened Species: Invertebrates (number),61
Nauru,2017,Threatened Species: Total (number),82
Saint Vincent & Grenadines,2020,Threatened Species: Vertebrates (number),50
Djibouti,2017,Threatened Species: Vertebrates (number),38
Rwanda,2010,Threatened Species: Total (number),55
Curaçao,2016,Threatened Species: Total (number),49
Cambodia,2018,Threatened Species: Plants (number),37
Puerto Rico,2020,Threatened Species: Plants (number),67
Brunei Darussalam,2004,Threatened Species: Invertebrates (number),0
Saint Kitts and Nevis,2017,Threatened Species: Vertebrates (number),40
Japan,2019,Threatened Species: Plants (number),60
Uganda,2018,Threatened Species: Plants (number),64
New Caledonia,2018,Threatened Species: Plants (number),350
Iran (Islamic Republic of),2018,Threatened Species: Invertebrates (number),24
Belize,2010,Threatened Species: Invertebrates (number),12
Lebanon,2004,Threatened Species: Plants (number),0
Morocco,2004,Threatened Species: Vertebrates (number),40
Madagascar,2019,Threatened Species: Invertebrates (number),195
Belgium,2020,Threatened Species: Total (number),66
France,2017,Threatened Species: Invertebrates (number),153
Indonesia,2004,Threatened Species: Vertebrates (number),419
Guinea,2020,Threatened Species: Invertebrates (number),8
Guam,2004,Threatened Species: Invertebrates (number),5
Liberia,2020,Threatened Species: Plants (number),86
Pakistan,2020,Threatened Species: Plants (number),13
Colombia,2019,Threatened Species: Vertebrates (number),581
South Africa,2019,Threatened Species: Invertebrates (number),208
Austria,2017,Threatened Species: Total (number),118
San Marino,2019,Threatened Species: Total (number),1
Mauritius,2004,Threatened Species: Vertebrates (number),28
"China, Hong Kong SAR",2010,Threatened Species: Vertebrates (number),37
Norway,2018,Threatened Species: Vertebrates (number),42
Malawi,2020,Threatened Species: Invertebrates (number),14
Isle of Man,2010,Threatened Species: Invertebrates (number),0
Burkina Faso,2017,Threatened Species: Invertebrates (number),1
Czechia,2020,Threatened Species: Total (number),104
Burundi,2017,Threatened Species: Vertebrates (number),46
Spain,2017,Threatened Species: Invertebrates (number),258
United Kingdom,2019,Threatened Species: Plants (number),78
U.S. Minor Outlying islands,2016,Threatened Species: Invertebrates (number),47
Afghanistan,2019,Threatened Species: Vertebrates (number),33
Malawi,2020,Threatened Species: Plants (number),42
Réunion,2017,Threatened Species: Plants (number),17
Comoros,2020,Threatened Species: Plants (number),9
Sri Lanka,2019,Threatened Species: Invertebrates (number),129
Ukraine,2010,Threatened Species: Vertebrates (number),45
Sao Tome and Principe,2018,Threatened Species: Invertebrates (number),4
Bahamas,2016,Threatened Species: Total (number),85
Belarus,2004,Threatened Species: Plants (number),0
Puerto Rico,2017,Threatened Species: Invertebrates (number),0
Dominica,2010,Threatened Species: Total (number),48
Jordan,2010,Threatened Species: Invertebrates (number),48
Eswatini,2020,Threatened Species: Total (number),41
Uganda,2016,Threatened Species: Plants (number),52
Guinea,2019,Threatened Species: Invertebrates (number),8
Norway,2020,Threatened Species: Vertebrates (number),44
Belarus,2019,Threatened Species: Vertebrates (number),15
Australia,2017,Threatened Species: Total (number),948
Guernsey,2018,Threatened Species: Invertebrates (number),0
Latvia,2004,Threatened Species: Plants (number),0
Côte d’Ivoire,2004,Threatened Species: Plants (number),105
Sint Maarten (Dutch part),2020,Threatened Species: Total (number),58
Libya,2020,Threatened Species: Total (number),75
Mali,2020,Threatened Species: Total (number),62
Czechia,2004,Threatened Species: Plants (number),4
Gibraltar,2010,Threatened Species: Total (number),22
Heard Is. and McDonald Is.,2017,Threatened Species: Plants (number),0
Azerbaijan,2010,Threatened Species: Plants (number),0
Norfolk Island,2016,Threatened Species: Vertebrates (number),18
Sint Maarten (Dutch part),2020,Threatened Species: Vertebrates (number),46
Namibia,2016,Threatened Species: Total (number),113
Namibia,2020,Threatened Species: Vertebrates (number),85
Libya,2019,Threatened Species: Total (number),69
Venezuela (Boliv. Rep. of),2019,Threatened Species: Invertebrates (number),26
Kenya,2016,Threatened Species: Plants (number),222
Pitcairn,2010,Threatened Species: Plants (number),7
Republic of Korea,2016,Threatened Species: Invertebrates (number),5
Curaçao,2017,Threatened Species: Vertebrates (number),38
Marshall Islands,2018,Threatened Species: Vertebrates (number),28
Congo,2016,Threatened Species: Total (number),133
Holy See,2020,Threatened Species: Invertebrates (number),0
American Samoa,2010,Threatened Species: Plants (number),1
Israel,2010,Threatened Species: Vertebrates (number),73
Qatar,2019,Threatened Species: Vertebrates (number),37
Eritrea,2019,Threatened Species: Plants (number),6
Colombia,2017,Threatened Species: Vertebrates (number),525
Peru,2020,Threatened Species: Plants (number),414
Liechtenstein,2019,Threatened Species: Invertebrates (number),6
Nigeria,2017,Threatened Species: Total (number),361
Mauritania,2017,Threatened Species: Plants (number),0
Slovenia,2019,Threatened Species: Total (number),162
Indonesia,2020,Threatened Species: Vertebrates (number),663
Areas n.e.s,2018,Threatened Species: Invertebrates (number),1
Guam,2016,Threatened Species: Invertebrates (number),60
Saint Helena,2004,Threatened Species: Total (number),60
Kuwait,2020,Threatened Species: Invertebrates (number),13
Puerto Rico,2019,Threatened Species: Invertebrates (number),0
Brunei Darussalam,2018,Threatened Species: Total (number),207
Singapore,2016,Threatened Species: Total (number),294
Czechia,2004,Threatened Species: Invertebrates (number),19
Madagascar,2020,Threatened Species: Total (number),2910
French Polynesia,2020,Threatened Species: Total (number),181
China,2020,Threatened Species: Vertebrates (number),451
Ecuador,2016,Threatened Species: Vertebrates (number),417
Gibraltar,2017,Threatened Species: Plants (number),0
Monaco,2010,Threatened Species: Invertebrates (number),0
Brazil,2010,Threatened Species: Invertebrates (number),45
Jersey,2017,Threatened Species: Vertebrates (number),5
Guyana,2019,Threatened Species: Total (number),117
Somalia,2019,Threatened Species: Vertebrates (number),76
Saint Martin (French part),2020,Threatened Species: Invertebrates (number),10
Bouvet Island,2017,Threatened Species: Vertebrates (number),3
Republic of Korea,2018,Threatened Species: Total (number),118
Norfolk Island,2010,Threatened Species: Vertebrates (number),19
Cabo Verde,2018,Threatened Species: Vertebrates (number),51
Dem. Rep. of the Congo,2018,Threatened Species: Total (number),390
Libya,2010,Threatened Species: Total (number),44
Botswana,2016,Threatened Species: Invertebrates (number),0
Tonga,2017,Threatened Species: Total (number),79
Qatar,2019,Threatened Species: Invertebrates (number),13
Burundi,2020,Threatened Species: Total (number),188
Tunisia,2017,Threatened Species: Plants (number),7
Myanmar,2018,Threatened Species: Total (number),325
Equatorial Guinea,2016,Threatened Species: Total (number),178
Saudi Arabia,2018,Threatened Species: Total (number),132
Jamaica,2019,Threatened Species: Plants (number),215
Mauritania,2020,Threatened Species: Total (number),94
Haiti,2004,Threatened Species: Plants (number),28
Zambia,2018,Threatened Species: Plants (number),22
Honduras,2010,Threatened Species: Plants (number),113
Ecuador,2004,Threatened Species: Invertebrates (number),48
Mauritania,2020,Threatened Species: Vertebrates (number),91
Nauru,2004,Threatened Species: Vertebrates (number),5
Pakistan,2016,Threatened Species: Plants (number),12
Belarus,2019,Threatened Species: Invertebrates (number),10
French Polynesia,2010,Threatened Species: Invertebrates (number),59
Bahrain,2017,Threatened Species: Vertebrates (number),23
Greenland,2010,Threatened Species: Plants (number),1
Greenland,2016,Threatened Species: Plants (number),1
Central African Republic,2019,Threatened Species: Total (number),66
Colombia,2018,Threatened Species: Plants (number),261
Latvia,2010,Threatened Species: Invertebrates (number),9
Romania,2018,Threatened Species: Total (number),125
Venezuela (Boliv. Rep. of),2010,Threatened Species: Vertebrates (number),179
Bangladesh,2017,Threatened Species: Vertebrates (number),123
Zimbabwe,2004,Threatened Species: Total (number),43
Seychelles,2004,Threatened Species: Vertebrates (number),35
Zambia,2016,Threatened Species: Total (number),85
Bahrain,2016,Threatened Species: Plants (number),0
Trinidad and Tobago,2017,Threatened Species: Vertebrates (number),57
